,Year,Country,Area,Location,Activity,Fatal (Y/N),Injury,Species
4443,1951.0,FRENCH POLYNESIA,Tuamotus,"Outer edge of Hikueru, one of the Central Tuamotu atolls",Spearfishing,N,Right thumb bitten,No Values
4444,1951.0,MEXICO,,,Diving,N,Lower leg severely injured,No Values
4445,1951.0,ITALY,Naples Province,"Torre del Greco, Naples",Other,N,3 men knocked to ground by harpooned shark PROVOKED INCIDENT,No Values
4446,1951.0,AUSTRALIA,New South Wales,Avalon,Surfing,N,Minor laceration to chest when he grabbed the shark by its tail PROVOKED INCIDENT,Other
4447,1951.0,AUSTRALIA,New South Wales,Sydney,Fishing,N,Severe lacerations of chest & thigh,Other
4448,1951.0,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Surfing,N,Left foot lacerated,No Values
4449,1951.0,SOUTH AFRICA,Eastern Cape Province,Port St. Johns,Surfing,N,"Leg bitten, defense wounds on hands",Other
4450,1951.0,AUSTRALIA,New South Wales,"Windang, near the entrance to Lake Illawarra",Spearfishing,N,Shark's fin caused abrasion on his chest,No Values
4451,1951.0,AUSTRALIA,New South Wales,Bondi Beach,Swimming,N,Leg bitten,Other
4452,1951.0,SOUTH AFRICA,KwaZulu-Natal,"Native Beach, Durban",Swimming,Y,"FATAL, right thigh bitten, leg severed at knee",No Values
4453,1951.0,AUSTRALIA,New South Wales,Hawkesbury River,Other,,Body found after a week in the water apparently bitten by shark/s,Other
4454,1951.0,NEW GUINEA,Madang Province,Manam Island,Other,Y,FATAL,No Values
4455,1950.0,AUSTRALIA,Queensland,Kirra,Surfing,N,"No injury, shark bit oar",Nurse shark
4456,1950.0,AUSTRALIA,New South Wales,Jervis Bay,Swimming,N,Legs nipped,Other
4457,1950.0,AUSTRALIA,Queensland,"Palm Beach North, 5 miles north of Burleigh Heads, Brisbane",Other,Y,"FATAL, lower abdomen severely bitten & his left leg was severed",No Values
4458,1950.0,AUSTRALIA,Northern Territory,Goulburn Island,Diving,N,"Minor injury to hand and groin from shark ""caught on his fishing spear"" PROVOKED INCIDENT",Other
4459,1950.0,AUSTRALIA,Queensland,"Burleigh Heads, Brisbane",Surfing,N,Part of buttocks & fingers severed,White shark
4460,1950.0,AUSTRALIA,Queensland,Yeppoon,Other,N,"No injury to occupants, shark holed canoet",Other
4461,1950.0,USA,California,"Imperial Beach, San Diego County",Surfing,N,Right leg lacerated,White shark
4462,1950.0,AUSTRALIA,Queensland,"Peterson's Beach, Sarina",Fishing,N,Lacerations to right thumb and knee,Other
4463,1950.0,EL SALVADOR, La Libertad,50 miles off Port La Libertad,Fishing,N,Left thigh bitten by hooked shark PROVOKED INCIDENT,Other
4464,1950.0,SAUDI ARABIA,Eastern Province,East of the Ras Tanura-Jubail area ,Diving,N,Tissue stripped knee to foot,No Values
4465,1950.0,AUSTRALIA,South Australia,Streaky Bay,Fishing,N,No injury to occupants,White shark
4466,1950.0,JAPAN,Sago Prefecture,Ariakeno Bay,Swimming,Y,FATAL,No Values
4467,1950.0,ITALY,Savona,Albenga,Fishing,N,Harpooned shark bit his forehead PROVOKED INCIDENT,No Values
4468,1950.0,CUBA,Caribbean Sea,,Other,N,Found at 21h30 by searchlight. Had been constantly harassed by sharks & had numerous lacerations,No Values
4469,1950.0,USA,Texas,Near Port Arthur,Swimming,N,Laceration to leg,Hammerhead shark
4470,1950.0,USA,Texas,Galveston Bay,Other,,Human remains found in shark,Other
4471,1950.0,USA,Florida,"Rock Harbor, Key Largo, Monroe County",Standing,N,Shallow lacerations on back of right thigh,Other
4472,1950.0,USA,New York,"Beach 103rd Street, Rockaway ",Swimming,N,"Gashes & lacerations on legs, foot lacerated.",Other
4473,1950.0,USA,Florida,275 miles northeast of Miami,Other,Y,"FATAL, bitten five times. Other survivors fought off sharks for 10 hours. One survivor's arm severed by a shark.",No Values
4474,1950.0,SOUTH AFRICA,KwaZulu-Natal,Port Edward,Other,N,Left foot bitten,No Values
4475,1950.0,ITALY,Tyrrhenian Sea,"Sprizze, Isola d'Elba",Fishing,N,No injury,White shark
4476,1950.0,AUSTRALIA,Queensland,Cooper's Point,Fishing,Y,FATAL,No Values
4477,1950.0,SOUTH AFRICA,Eastern Cape Province,Off Port Elizabeth breakwater,Fishing,N,"Shark bit foot, removing 2 toes",Other
