,Year,Country,Area,Location,Activity,Fatal (Y/N),Injury,Species
1851,2002.0,USA,Hawaii,"Anini Beach, Kaua'i",Surfing,N,"No injury, shark bit side of surfboard",Tiger shark
1852,2002.0,USA,Florida,"St Augustine Beach, St Johns County",Surfing,N,Right hand lacerated,Other
1853,2002.0,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,N,6-inch gash on right foot,Other
1854,2002.0,USA,Florida,"Jensen Beach, Martin County ",Swimming,N,Right calf lacerated,No Values
1855,2002.0,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati ,Snorkeling,N,Upper arm bitten,Other
1856,2002.0,USA,California,"Stinson Beach, Marin County",Surfing,N,Lacerated leg & back,White shark
1857,2002.0,USA,Florida,"St. George Island (near Apachicola), Franklin County",Other,N,Lacerated foot,Other
1858,2002.0,USA,Florida,"a pier at the end of Caxambas Drive, Marco Island ",Fishing,N,Leg bitten by hooked shark PROVOKED INCIDENT,Blacktip shark
1859,2002.0,USA,Florida,"Atlantic Avenue, Palm Beach County",Surfing,N,"2-inch wound on dorsum of right foot, 1-inch wound on sole",No Values
1860,2002.0,COSTA RICA,Guanacaste,Playa Grande,Surfing,N,Toothmarks in board & his swim trunks,Bull shark
1861,2002.0,PAPUA NEW GUINEA,Milne Bay Province,Tewatewa Island,Other,N,Wrist lacerated,No Values
1862,2002.0,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,N,Laceration to arm.,Other
1863,2002.0,BRAZIL,Pernambuco,"Pina, Recife",Surfing,N,Leg injured,No Values
1864,2002.0,AUSTRALIA,Northern Territory,Darwin,Fishing,N,Netted shark injured his am & 6 fingers PROVOKED INCIDENT,No Values
1865,2002.0,AUSTRALIA,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Diving,Y,"FATAL, torso & leg bitten  ",White shark
1866,2002.0,AUSTRALIA,New South Wales,26 nautical miles out to sea off Lake Macquarie,Fishing,,"Drowned, his remains were found in a 3m [10'], 368 kg [811-lb] tiger shark",Other
1867,2002.0,USA,Florida,"St. Augustine Beach, St. Johns County",Surfing,N,Left foot bitten,Other
1868,2002.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Left foot bitten,No Values
1869,2002.0,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",Swimming,N,Foot bitten,No Values
1870,2002.0,BAHAMAS,Abaco Islands,Walkers Cay,Standing,N,Calf bitten,Bull shark
1871,2002.0,USA,Florida,"New Smyrna Beach, Volusia County",Wading,N,Two half-inch lacerations on right heel and one near small toe,Other
1872,2002.0,USA,Florida,"Lauderdale-By-The-Sea, Broward County",Swimming,N,Upper left arm bitten,Other
1873,2002.0,USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i",Other,N,Left leg severed below knee,Tiger shark
1874,2002.0,USA,Florida,"Cocoa Beach, Brevard County",Wading,N,Foot bitten,Other
1875,2002.0,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,Y,"Severe kacerations, FATAL",No Values
1876,2002.0,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,N,Punctures on left foot and foot ,Other
1877,2002.0,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",Snorkeling,N,Arm bitten,Nurse shark
1878,2002.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Several  puncture wounds on lower right leg,Spinner shark
1879,2002.0,NEW CALEDONIA,Loyalty Islands,Lifou,Spearfishing,,"PRESUMED FATAL, body not recovered",Other
1880,2002.0,TURKS & CAICOS,,,Fishing,Y,FATAL,No Values
1881,2002.0,AUSTRALIA,Queensland,Sunshine Beach,Surfing,N,Heel / foot bitten,Other
1882,2002.0,FIJI,Cikobia Island (north of Vanua Levu),,Other,Y,"FATAL, lower thigh & knee severely lacerated ",No Values
1883,2002.0,AUSTRALIA,New South Wales,Paramatta River (near Sydney),Kayaking,N,Stern of kayak bitten/chest bruised ,Other
1884,2002.0,AUSTRALIA,New South Wales,Just north of Fingal Spit,Surfing,N,Bruises & minor cuts,Tiger shark
1885,2002.0,AUSTRALIA,Western Australia,Collie River ,Swimming,N,15 cm wound on inner thigh,No Values
1886,2002.0,SOUTH AFRICA,KwaZulu-Natal,Durban Harbor,Fishing,N,Leg bitten & surgically amputated,Zambesi shark
1887,2002.0,BRAZIL,Pernambuco,Candeias,Swimming,Y,FATAL,No Values
1888,2002.0,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Surfing,N,Foot & calf bitten,Other
1889,2002.0,USA,Hawaii,"Olowalu, Maui",Snorkeling,N,Lacerations to buttocks & thigh,Tiger shark
1890,2001.0,AUSTRALIA,Western Australia,"Honeycombs, 250 km south of Perth",Surfing,N,"No injury, 2 m to 2.5 m [6.75'  to 8.25'] shark made a threat display",No Values
1891,2001.0,AUSTRALIA,New South Wales,"Flat Rock Beach, Lennox Head",Surfing,N,"No Injury, shark hit board",Bronze shark
1892,2001.0,USA,Hawaii,"Kapalua, Maui",Surfing,N,"No injury, portion of board's lower surface removed",No Values
1893,2001.0,AUSTRALIA,Western Australia,"Leighton Beach, south of North Cottesloe",Surfing,,"No injury, fell off ski after possibly colliding with  a shark",No Values
1894,2001.0,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,Kite,N,No injury,Mako shark
1895,2001.0,AUSTRALIA,Queensland,200 miles offshore,Snorkeling,N,Lacerations to right forearm & shoulder injured,Bronze shark
1896,2001.0,MEXICO,Guerrero,Ixtapa,Surfing,N,Hand injured,Tiger shark
1897,2001.0,AUSTRALIA,Queensland,"Moreton Bay, NE of Brisbane ",Other,N,No injury from shark,White shark
1898,2001.0,USA,Florida,"Ponce Inlet, Volusia County",Surfing,N,PROVOKED INCIDENT Several small lacerations on left foot ,Other
1899,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,"1"" to 2"" cuts on right ankle & foot",No Values
1900,2001.0,USA,Florida,"2 miles off Pompano Beach, Broward County",Diving,Y,FATAL or drowning & scavenging,Other
1901,2001.0,USA,Florida,A quarter mile north of Fort Pierce Inlet,Boarding,N,"2 lacerations on lower back, punctures on buttock",Other
1902,2001.0,USA,North Carolina,"North Topsail Beach, Onslow County",Surfing,N,Foot bitten,No Values
1903,2001.0,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,N,Head bitten by captive shark PROVOKED INCIDENT,Sandtiger shark
1904,2001.0,USA,Florida,"Everglades National Park, Monroe County",Fishing,N,Fingers & leg lacerated  by hooked shark PROVOKED INCIDENT,No Values
1905,2001.0,USA,Florida,"Key Biscayne, Dade County",Other,N,Minor injury to left leg,No Values
1906,2001.0,USA,South Carolina,"Waites Island, Horry County",Swimming,N,Left hand injured,Other
1907,2001.0,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,Y,FATAL,White shark
1908,2001.0,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,N,Left buttock & foot  severed,White shark
1909,2001.0,USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country",Wading,N,Right calf lacerated,Other
1910,2001.0,USA,Virginia,"Sandbridge Beach, Princess Anne County",Swimming,Y,"FATAL, thigh bitten ",Bull shark
1911,2001.0,BAHAMAS,Abaco Islands,North of Grand Cay,Spearfishing,N,Torso lacerated,Bull shark
1912,2001.0,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",Standing,N,Punctures & lacerations on elbow & forearm,No Values
1913,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Wading,N,Heel lacerated,No Values
1914,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,N,Thigh & foot bitten,No Values
1915,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,N,Upper left thigh & right foot bitten,No Values
1916,2001.0,USA,Florida,"Daytona, Volusia County ",Surfing,N,Foot lacerated,Other
1917,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Thigh lacerated,No Values
1918,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Cuts on right foot,No Values
1919,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Lacerations to lower leg,No Values
1920,2001.0,USA,Florida,"Wilbur-by-the-Sea, Volusia County",Surfing,N,Left foot lacerated,No Values
1921,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Cuts on right foot,Blacktip shark
1922,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Back of left hand gashed,Blacktip shark
1923,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Left ankle bitten,Blacktip shark
1924,2001.0,BAHAMAS,Grand Bahama Island,"High Rock, 25 to 30 miles east of Freeport",Spearfishing,N,Calf bitten,Bull shark
1925,2001.0,THAILAND,Rayong Province,Laem Mae Pim Beach,Other,N,Legs bitten,Other
1926,2001.0,USA,South Carolina,"Near 70th Avenue, Myrtle Beach, Horry County",Other,N,Toe bitten,No Values
1927,2001.0,BAHAMAS,Grand Bahama Island,Freeport,Swimming,N,"Leg bitten, later surgically amputated above the knee",No Values
1928,2001.0,ITALY,,Rimini,Fishing,N,No Injury to occupants,No Values
1929,2001.0,USA,South Carolina,"Myrtle Beach, Horry County",Other,N,Survived,No Values
1930,2001.0,USA,Florida,"Taverniier, Monroe County",Other,N,Minor injury,No Values
1931,2001.0,USA,Florida,"Marathon , Monroe County",Other,N,2 bites behind knee,Nurse shark
1932,2001.0,USA,Massachusetts,Chatham Island,Fishing,N,No Injury to occupants; shark bumped the boat ,Mako shark
1933,2001.0,USA,Florida,"Santa Rosa Island, Escambia County",Surfing,N,Left foot & heel lacerated,No Values
1934,2001.0,USA,Florida,"Amelia Island, Nassau County",Boarding,N,Foot lacerated,Other
1935,2001.0,MEXICO,Baja California,Ensenada,Surfing,N,Foot bitten,No Values
1936,2001.0,USA,Florida,Gulf Islands National Seashore,Swimming,N,"Arm severed, surgically reattached",Bull shark
1937,2001.0,USA,South Carolina,"Isle of Palms, Charleston County ",Other,N,Hand bitten,No Values
1938,2001.0,USA,Georgia,"Jekyll Island, Glynn County",Other,N,2-inch cut on dorsum of left foot,No Values
1939,2001.0,USA,Texas,Padre Island National Seashore,Swimming,N,Leg lacerated,Other
1940,2001.0,USA,California,Catalina Island,Spearfishing,N,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",White shark
1941,2001.0,AUSTRALIA,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),Other,,Remains recovered from gut of a  3.7 m [12'] tiger shark,Other
1942,2001.0,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",Wading,N,3 puncture wounds on each side of her left  hand,Other
1943,2001.0,USA,Texas,Galveston Island,Other,N,Survived,No Values
1944,2001.0,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,N,Shin lacerated,Other
1945,2001.0,USA,South Carolina,"Fripp Island, Beaufort County",Swimming,N,5.5-inch laceration on calf,No Values
1946,2001.0,PHILIPPINES,Zamboanga del Sur Province,,Fishing,N,Arm bitten PROVOKED INCIDENT,No Values
1947,2001.0,MADAGASCAR,,Shipwrecked Ferry M/V Samsonnette,Other,,Fatal or drowned & remains scavenged by shark,Other
1948,2001.0,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,N,Leg bitten,White shark
1949,2001.0,AUSTRALIA,New South Wales,Noraville,Surfing,N,"Chest lacerated, surfboard bitten",No Values
1950,2001.0,USA,Florida,"Jacksonville, Duval County",Surfing,N,Foot lacerated ,Other
1951,2001.0,FIJI,Taveuni,,Spearfishing,Y,FATAL,No Values
1952,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,N,4 small lacerations on lower right leg,No Values
1953,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Foot & ankle lacerated,No Values
1954,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Right foot & ankle lacerated,Blacktip shark
1955,2001.0,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",Other,N,Right ankle & lower leg lacerated,No Values
1956,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Foot & ankle lacerated,No Values
1957,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Small cuts on big & pinky toes of left foot,Blacktip shark
1958,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Boarding,N,Foot & ankle lacerated,Blacktip shark
1959,2001.0,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,N,Foot lacerated,Blacktip shark
1960,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Minor cuts on right heel & foot,Blacktip shark
1961,2001.0,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,N,Lacerations to top & bottom of left foot,No Values
1962,2001.0,USA,Hawaii,"Ewa Beach, O'ahu",Surfing,N,Minor punctures & lacerations on left hand ,Other
1963,2001.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Foot lacerated,Blacktip shark
1964,2001.0,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,N,"Thigh, hip & buttock bitten",White shark
1965,2001.0,AUSTRALIA,New South Wales,Bronte Beach,Snorkeling,N,Wrist lacerated PROVOKED INCIDENT,Other
1966,2001.0,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Standing,N,Minor lacerations to dorsum of left foot,Other
1967,2001.0,BRAZIL,Rio Grande de Norte,"Praia de Camapum, Macau",Other,N,Left thigh bitten,No Values
1968,2001.0,AUSTRALIA,New South Wales,Nambucca River Entrance,Surfing,N,Calf bitten,Bronze shark
1969,2001.0,USA,Hawaii,"Sandy Beach, Oahu",Other,N,"Minor cuts on left hand, body board bitten",No Values
1970,2001.0,USA,Florida,"Coral Cove Park, Jupiter Island, Martin County",Surfing,N,Fingers & hand lacerated,Spinner shark
1971,2001.0,BRAZIL,Bahia,Nova Vicosa,Other,,Lacerations below the knee,Other
1972,2001.0,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,Y,FATAL,No Values
1973,2001.0,CARIBBEAN SEA,,Between St. Maarten & Anguilla,Boarding,Y,"Human remains recovered in shark caught off Anguilla, probable scavenging on drowned body",Tiger shark
1974,2001.0,AUSTRALIA,Western Australia,Albany (incident took place 200 metres from swimmers),Fishing,N,No injury to occupants,White shark
1975,2001.0,MALAYSIA,Off the western coast of peninsular Malaysia,Pulau Pangkor (Pangkor Island),Other,,Bones recovered by fishermen in 300-kg [662-lb] white sharks gut,Other
1976,2001.0,AUSTRALIA,New South Wales,Broome Head,Surfing,N,Leg bitten,Bronze shark
1977,2001.0,AUSTRALIA,New South Wales,South West Rocks,Kayaking,N,"No injury, shark rammed & bit kayak",Other
1978,2001.0,CUBA,Holquin Province,Off Blau Costa Verde resort,Swimming,N,Left arm bitten,Other
1979,2001.0,AUSTRALIA,South Australia,Adelaide,Fishing,N,No injury to occupants,White shark
1980,2001.0,USA,California,"Sunset Cliffs, San Diego",Surfing,N,"Foot bruised, board dinged",Other
1981,2001.0,NEW ZEALAND,North Island,Sandy Bay/Whananaki,Kayaking,N,"No injury, kayak bitten",White shark
1982,2000.0,AUSTRALIA,Queensland,Flinders Cay,Scuba,N,Hand bitten,No Values
1983,2000.0,FIJI,Taveuni,Garden Island Resort,Swimming,Y,"FATAL, leg severed ",Other
1984,2000.0,AUSTRALIA,South Australia,"3 km off Port Victoria, Yorke Peninsula",Fishing,N,No injury to occupants,White shark
1985,2000.0,CANADA,New Brunswick,Bay of Fundy,Diving,N,No injury,Other
1986,2000.0,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",Spearfishing,N,Left elbow and forearm bitten,Bronze shark
1987,2000.0,NEW ZEALAND,Cook Islands,"Arorangi, Rarotonga",Surfing,Y,FATAL,No Values
1988,2000.0,AUSTRALIA,Queensland,Orpheus Island,Diving,N,"No injury, wetsuit & swimfin torn",Tiger shark
1989,2000.0,AUSTRALIA,South Australia,Ceduna,Other,,"Missing, thought to have been taken by a shark",Other
1990,2000.0,USA,Florida,"Bonita Springs, Lee County",Swimming,N,Right calf lacerated,Other
1991,2000.0,USA,Florida,"Vaughn Beach, Flagler County",Other,,No injury,Other
1992,2000.0,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,N,Leg & feet lacerated,White shark
1993,2000.0,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,Y,"FATAL, torso bitten, leg severed ",White shark
1994,2000.0,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",Surfing,N,Both thighs bitten,White shark
1995,2000.0,AUSTRALIA,Queensland,Peel Island,Fishing,N,"No Injury to occupant, shark holed and sank boat",White shark
1996,2000.0,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",Surfing,N,Leg lacerated,No Values
1997,2000.0,USA,Hawaii,Olowalu,Swimming,N,Right side of back / torso lacerated,Tiger shark
1998,2000.0,USA,Florida,"South Beach, Sebastian, Indian River County",Swimming,N,Right hand lacerated,No Values
1999,2000.0,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",Surfing,N,Foot lacerated,Other
2000,2000.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Fingers lacerated,Blacktip shark
2001,2000.0,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,N,Right foot & heel lacerated,No Values
2002,2000.0,USA,North Carolina,"Wrightsville Beach, New Hanover County",Surfing,N,Upper left arm lacerated,No Values
2003,2000.0,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Surfing,N,No injury,White shark
2004,2000.0,AUSTRALIA,South Australia,"Black Point, Eyre Peninsula",Surfing,Y,FATAL,White shark
2005,2000.0,AUSTRALIA,South Australia,Cactus Beach near Penong,Surfing,Y,FATAL,White shark
2006,2000.0,AUSTRALIA,New South Wales,Wollongong,Other,N,Foot lacerated from toe to heel when he tripped on shark during fishing competition PROVOKED INCIDENT,Blue shark
2007,2000.0,OKINAWA,Miyako Island,Sunayama Beach,Surfing,Y, FATAL,White shark
2008,2000.0,USA,South Carolina,"Isle of Palms, Charleston County",Other,N,Non-fatal,No Values
2009,2000.0,USA,Florida,"Fort Pierce Inlet, St Lucie County",Standing,N,Right lower leg & ankle lacerated,No Values
2010,2000.0,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",Surfing,N,Puncture wounds on knee,No Values
2011,2000.0,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,N,Finger lacerated,Other
2012,2000.0,USA,Florida,"Vero Beach, Indian River County",Swimming,N,Minor injury to arm and hand,No Values
2013,2000.0,SOUTH AFRICA,Western Cape Province,Dyer Island,Diving,N,Swim fin bitten,White shark
2014,2000.0,TANZANIA,,"Coco Beach, Dar-es-Salaam (Reported as the 5th fatality in 3 months at Coco Beach)",Swimming,Y,FATAL,Zambesi shark
2015,2000.0,USA,Florida,"New Smyrna Beach, Volusia County",Wading,N,Left foot lacerated ,Other
2016,2000.0,REUNION,Saint-Pierre,Pic du Diable ,Surfing,N,Left arm bitten,Tiger shark
2017,2000.0,TANZANIA,,"Coco Beach, Dar-es-Salaam",Swimming,Y,FATAL,Zambesi shark
2018,2000.0,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,N,Punctures & lacerations on right foot,Other
2019,2000.0,USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County",Other,Y,FATAL,Bull shark
2020,2000.0,USA,Alaska,Prince William Sound,Other,N,Leg bitten by netted shark PROVOKED INCIDENT,Other
2021,2000.0,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County",Swimming,N,"Severe gash to left hand above wrist, almost severing hand",No Values
2022,2000.0,USA,Hawaii,"Kanaha Beach, Maui",Windsurfing,N,Left calf lacerated,Tiger shark
2023,2000.0,USA,Florida,"South Jacksonville Beach, Duval County",Surfing,N,Minor lacerations to the dorsum of the right foot,Other
2024,2000.0,USA,Florida,"St. Augustine, St. Johns County",Standing,N,Severely bitten on lower leg ,Blacktip shark
2025,2000.0,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,,Non-fatal,Other
2026,2000.0,USA,Florida,Florida Keys,Other,,Shark involvement probably post-mortem,Other
2027,2000.0,TANZANIA,,"Coco Beach, Dar-es-Salaam",Swimming,Y,FATAL,Zambesi shark
2028,2000.0,USA,Florida,"New Smyrna Beach, Volusia County",Other,N,Minor laceration on left leg,No Values
2029,2000.0,USA,Florida,"Big Pine Key, Monroe County ",Snorkeling,N,Leg pinched,Nurse shark
2030,2000.0,USA,North Carolina,"Oceanic Pier, Wrightsville Beach, New Hanover County",Surfing,N,Foot lacerated,No Values
2031,2000.0,USA,North Carolina,"Holden Beach, Brunswick County",Surfing,N,Minor lacerations on foot,Other
2032,2000.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,N,Hand lacerated,No Values
2033,2000.0,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,N,"No injury, flung off board",No Values
2034,2000.0,SOUTH AFRICA,KwaZulu-Natal,South of Durban,Surfing,N,No Injury,No Values
2035,2000.0, TONGA,Minerva Reef,Treated at Nuku-alofa,Scuba,N,Left arm bitten,Grey shark
2036,2000.0,USA,Florida,"Daytona  Beach, Volusia County",Wading,N,Minor laceration & 3 punctures to right foot,No Values
2037,2000.0,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",Swimming,N,Knee & calf lacerated,No Values
2038,2000.0,USA,Texas,"Mustang Island, Corpus Christi",Other,N,Ankle & foot lacerated,Lemon shark
2039,2000.0,USA,North Carolina,"Pine Island, Corolla, Currituck County",Other,N,Calf lacerated,Tiger shark
2040,2000.0,USA,Florida,"Daytona Beach, Volusia County",Wading,N,Left inner thigh,No Values
2041,2000.0,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County",Spearfishing,N,Lower right calf lacerated,Nurse shark
2042,2000.0,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,N,Left calf & hand lacerated,Other
2043,2000.0,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Standing,N,Left thigh lacerated,Blacktip shark
2044,2000.0,TANZANIA,,"Coco Beach, Dar-es-Salaam",Swimming,Y,FATAL,Zambesi shark
2045,2000.0,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Other,Y,FATAL,No Values
2046,2000.0,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty",Fishing,N,"No injury, shark bit the dinghy",Mako shark
2047,2000.0,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",Standing,N,Right ankle lacerated,No Values
2048,2000.0,USA,Florida,"Pensacola Bay, Escambia County",Other,N,"No injury to occupants, boat's rear platform bitten",Bull shark
2049,2000.0,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",Surfing,N,Foot lacerated,Blacktip shark
2050,2000.0,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,N,Puncture wounds on right hip and arm,Bull shark
2051,2000.0,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,N,Right forearm severed surgically amputated above elbow,Bull shark
2052,2000.0,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,N,Right forearm lacerated,No Values
2053,2000.0,TANZANIA,,"Coco Beach in Oyster Bay, 7 km north of Dar-es-Salaam",Swimming,Y,"FATAL, legs severed  ",Zambesi shark
2054,2000.0,NEW CALEDONIA,South Province,Mont Dore,Boarding,Y,Sharks prevented recovery of remains,Tiger shark
2055,2000.0,AUSTRALIA,Victoria,"Koonya Beach, Melbourne",Other,,Probable drowning,Other
2056,2000.0,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Standing,N,Left leg & ankle bitten,No Values
2057,2000.0,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Diving,Y,FATAL,No Values
2058,2000.0,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Other,N,Left foot lacerated,No Values
2059,2000.0,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",Boarding,N,Puncture marks on right thigh,No Values
2060,2000.0,USA,Florida,Santa Rosa Sound Escambia County,Fishing,N,"No Injury, bumped by shark",No Values
2061,2000.0,AUSTRALIA,Queensland,"Main Beach, Gold Coast",Swimming,N,Left calf bitten,Other
2062,2000.0,USA,Florida,"Juno Beach, Palm Beach County",Boarding,N,Right knee lacerated,Other
2063,2000.0,USA,Florida,"Floridana Beach, Brevard County",Surfing,N,Left hand bitten,Other
2064,2000.0,NEW CALEDONIA,North Province,Poum,Spearfishing,Y,FATAL,Tiger shark
2065,2000.0,AUSTRALIA,New South Wales,"McMasters Beach, Central Coast",Surfing,N,No Injury,Tiger shark
2066,2000.0,AUSTRALIA,New South Wales,Parramatta River,Other,N,No Injury to occupants,Other
2067,2000.0,AUSTRALIA,New South Wales,Parramatta River,Other,N,No injury to occupants; oar bitten,No Values
2068,2000.0,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,Kayaking,,Reported as shark attack but probable drowning ,Other
2069,2000.0,AUSTRALIA,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",Swimming,N,Survived,No Values
2070,2000.0,USA,Louisiana,Midnight Lump (38 miles offshore),Spearfishing,N,"No injury to diver, speargun damaged",Mako shark
2071,2000.0,USA,Florida,"Riviera Beach, Palm Beach County",Other,N,Right calf bitten,No Values
2072,2000.0,SOUTH AFRICA,Western Cape Province,Struis Bay,Surfing,N,Foot bitten,White shark
2073,2000.0,ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,Other,N,Fingers bitten PROVOKED INCIDENT,Blacktip shark
2074,2000.0,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),Surfing,N,"No injury, wetsuit punctured",No Values
2075,2000.0,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",Surfing,N,Hand bitten,Other
2076,2000.0,REUNION,,Saint Pierre,Other,Y,FATAL,No Values
2077,2000.0,THAILAND,Phang nga Province,Phang nga Island,Diving,Y,FATAL,No Values
2078,2000.0,USA,Florida,"Boca Grande, Lee County",Fishing,N,No injury to occupant; shark bit propeller,Hammerhead shark
2079,1999.0,NEW ZEALAND,South Island,Oreti Beach,Surfing,N,Six puncture wounds on  leg,Other
2080,1999.0,NEW ZEALAND,South Island,Oreti Beach,Swimming,N,Arm bitten,Other
2081,1999.0,NEW ZEALAND,South Island,Oreti Beach,Bathing,N,A cut on her hand,Other
2082,1999.0,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,N,"Leg bitten, surgically amputated",Bull shark
2083,1999.0,USA,California,"Off Ventura, Anacapa & Santa Cruz Islands",Scuba,,"Presumed taken by a shark,  but forensic evidence suggested otherwise.",Other
2084,1999.0,BRAZIL,Rio de Janeiro,"Rio de Janeiro, Guanabara Bay",Spearfishing,N,"Lateral right thigh bitten. Thought to involve a 1.2 to 1.5 m tubarão da gralha preta -  a blacktip shark, C. limbatus",Other
2085,1999.0,USA,Florida,"Boynton Beach, Palm Beach County",Surfing,N,Right arm & fingers lacerated,No Values
2086,1999.0,USA,Florida,"Palm Beach, Palm Beach County",Surfing,N,Lacerations to hand & wrist,No Values
2087,1999.0,USA,Hawaii,"Big Island off Kona Village Resort, North Kona",Swimming,N,"Buttock bitten, hands lacerated",Tiger shark
2088,1999.0,USA,California,"Waddell Reef, Santa Cruz County",Surfing,N,"No injury, board bitten",White shark
2089,1999.0,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Surfing,N,Lower legs lacerated,White shark
